,category,productName
0,Solid Marijuana Infused Edible,Dark Chocolate Sea Salt -SATIVA- Gold Leaf
1,Solid Marijuana Infused Edible,Grape Gummies -HYBRID- Gold Leaf
2,Solid Marijuana Infused Edible,Green Apple 2:1 Gummies -CBD- Gold Leaf
3,Solid Marijuana Infused Edible,Orange Gummies 1:1 -CBD- Gold Leaf
4,Solid Marijuana Infused Edible,Strawberry Gummies -SATIVA- Gold Leaf
5,Usable Marijuana,Ace's High FLOWER -1.0g- Grassroots
6,Solid Marijuana Infused Edible,Agave Lime Lozenges (5-Pack) -100mg - PTS
7,Marijuana Extract for Inhalation,Apple Jack DISPOSABLE Vaporizer - Natures Grace
8,Marijuana Extract for Inhalation,ATF Vaporizer CARTRIDGE - Pharmacann
9,Marijuana Infused Topicals,Bath Bombs (2-Pack) -100mg- IESO
10,Solid Marijuana Infused Edible,Berry Cherry Granola Bar Single 1:1 -25mg- Gold Leaf
11,Marijuana Extract for Inhalation,Birthday Cake DISPOSABLE Vaporizer - Nature's Grace
12,Marijuana Extract for Inhalation,Blockhead GOLD DUST -1.0g- Bedford Grow
13,Usable Marijuana,Blueberry Boost FLOWER -1.0g- IESO
14,Marijuana Extract for Inhalation,Blueberry Boost Vaporizer CARTRIDGE -500mg- IESO
15,Usable Marijuana,Blueberry Headband -3.5g- Rythm
16,Marijuana Extract for Inhalation,Blueberry Melon DISPOSABLE Vaporizer -200mg- Natures Grace
17,Solid Marijuana Infused Edible,Brownie Pop CBD (4-Pack) - SCCS
18,Marijuana Extract for Inhalation,Bruce Banner #3 RAW WAX -1.0g- Gold Leaf
19,Marijuana Extract for Inhalation,Bruce Banner #3 Vaporizer CARTRIDGE -500mg- Gold Leaf
20,Usable Marijuana,Bubble Gum -3.5g- Nature's Grace
21,Usable Marijuana,Bubble Gum SHAKE -7.0g- Natures Grace
22,Marijuana Extract for Inhalation,Bubble Gum Vaporizer CARTRIDGE -500mg- Nature's Grace
23,Marijuana Extract for Inhalation,Cannalope Kush VAPORIZER CARTRIDGE -500mg- Nature's Grace
24,Solid Marijuana Infused Edible,CBD 1:1 MILK Chocolate All NATURAL -50mg- Rythm
25,Solid Marijuana Infused Edible,CBN Capsules (10-Pack) -75mg- Cresco
26,Usable Marijuana,Chem 4 - 1.0g - Grassroots
27,Marijuana Extract for Inhalation,Chemdahar Vaporizer CARTRIDGE -500mg- Bedford Grow
28,Marijuana Extract for Inhalation,Chemdawg 91 Sunrock SHATTER -1.0g- Gold Leaf
29,Usable Marijuana,Cherry WU SHAKE -14.0g- Bedford Grow
30,Marijuana Extract for Inhalation,Cherrygasm Vaporizer CARTRIDGE -500mg- IESO
31,Marijuana Extract for Inhalation,Chicago Blue Dream Vaporizer CARTRIDGE -500mg- Natures Grace
32,Solid Marijuana Infused Edible,Chocolate Chip Cookies 1:1 (4-Pack) - SCCS
33,Solid Marijuana Infused Edible,Chocolate Dipped Tart Cherries (10-PACK) -100mg- IGF
34,Usable Marijuana,Chocolate Mint FLOWER -1.0g- SCCS
35,Solid Marijuana Infused Edible,Chocolate Penny CBD (4-Pack) - SCCS
36,Usable Marijuana,Chunky Diesel -3.5g- Cresco
37,Usable Marijuana,Chunky Diesel SHAKE -7.0g- Cresco
38,Solid Marijuana Infused Edible,Cinnamon Apple Lozenges (5-Pack) -100mg- PTS
39,Marijuana Extract for Inhalation,Citrix Vaporizer CARTRIDGE -500mg- Gold Leaf
40,Usable Marijuana,Clementine POPCORN -14.0g- Cresco
41,Solid Marijuana Infused Edible,Coconut Oil -100mg- IGF
42,Marijuana Extract for Inhalation,Colombian Haze Vaporizer CARTRIDGE -500mg- IESO
43,Usable Marijuana,Critical Cure -3.5g- Nature's Grace
44,Marijuana Extract for Inhalation,Critical Cure Vaporizer CARTRIDGE - Natures Grace
45,Marijuana Extract for Inhalation,Critical Purple Kush SHATTER -1.0g- Cresco
46,Usable Marijuana,Dead Cherries -3.5g- Grassroots
47,Usable Marijuana,Dead Cherries FLOWER -1.0g- Grassroots
48,Marijuana Extract for Inhalation,DS Death Star Vaporizer CARTRIDGE -500mg- IESO
49,Usable Marijuana,DJ Flo POPCORN -14.0g- Cresco
50,Marijuana Extract for Inhalation,Double Durban Kush Vaporizer CARTRIDGE -500mg- Natures Grace
51,Marijuana Extract for Inhalation,Double Durban Kush Vaporizer CARTRIDGE -500mg- Natures Grace
52,Marijuana Extract for Inhalation,Double Rainbow Vaporizer CARTRIDGE -500mg- PharmaCann
53,Marijuana Extract for Inhalation,Dreamcatcher Vaporizer CARTRIDGE - Pharmacann 
54,Usable Marijuana,Durban Haze SHAKE -7.0g- Nature's Grace
55,Usable Marijuana,Durban Poison -3.5g- Cresco
56,Marijuana Extract for Inhalation,Earth Blossom Vaporizer CARTRIDGE -500mg- Rythm
57,Marijuana Extract for Inhalation,East Coast Sour Diesel Sunrock SHATTER -1.0g- Gold Leaf
58,Marijuana Extract for Inhalation,East Coast Sour Diesel Vaporizer CARTRIDGE -500mg- Gold Leaf
59,Marijuana Extract for Inhalation,Eazy Peezy Vaporizer CARTRIDGE -500mg- Bedford Grow
60,Marijuana Extract for Inhalation,Euphurkle ROSIN -1.0g- SCCS
61,Solid Marijuana Infused Edible,Fruit Punch B12 (4-PACK) - Powdered Tonic Mix -100mg- PTS 
62,Marijuana Extract for Inhalation,Fruity Pebbles DISPOSABLE Vaporizer -200mg- Natures Grace
63,Usable Marijuana,G6 DEEP THOUGHT -1.0g- Gold Leaf
64,Marijuana Extract for Inhalation,G6 Sunrock SHATTER -1.0g- Gold Leaf
65,Marijuana Extract for Inhalation,G6 Vaporizer CARTRIDGE -500mg- Gold Leaf
66,Marijuana Extract for Inhalation,Gelato RAW WAX -1.0g- Gold Leaf
67,Marijuana Extract for Inhalation,Gelato Sunrock SHATTER -1.0g- Gold Leaf
68,Marijuana Extract for Inhalation,Gelato Vaporizer CARTRIDGE -500mg- Gold Leaf
69,Marijuana Extract for Inhalation,GG4 SHATTER -1.0g- PTS
70,Marijuana Extract for Inhalation,Ghost Train Haze Sunrock SHATTER -1.0g- Gold Leaf
71,Marijuana Extract for Inhalation,Ghost Train Haze Vaporizer CARTRIDGE - Gold Leaf
72,Marijuana Extract for Inhalation,Gogi OG Vaporizer CARTRIDGE -500mg- Pharmacann
73,Liquid Marijuana Infused Edible,Golden Glue Honey (INDICA) -100mg- IGF
74,Marijuana Extract for Inhalation,Gorilla Biscuit Vaporizer CARTRIDGE -500mg- IESO
75,Usable Marijuana,Granola Funk FLOWER - 1.0g - Grassroots
76,Usable Marijuana,Granola Funk -3.5g- Grassroots
